Brand,Origin,Characteristics,Preparation Method
Villalobos,Fazenda Vista Alegre,Citrusy,Hario V60
Java,Fazenda São Luiz,Rich Flavor,Clever
Blue Mountain,Lavras,Smooth Finish,French Press
Kona,Itamogi,Citrusy,Italiana
Typica,Fazenda Monte Verde,Earthy,Espresso
Bourbon,Fazenda Boa Esperança,Full Body,Hario V60
Caturra,Guaxupé,Full Body,Clever
Catuai,Santa Rita do Sapucaí,Bright Acidity,French Press
SL28,Fazenda Vista Alegre,Nutty,Italiana
SL34,Fazenda Serrinha,Sweet Aftertaste,Espresso
Pacamara,Fazenda Vista Alegre,Floral,Hario V60
Gesha,Araguari,Smokey,Clever
Maragogipe,Fazenda Monte Verde,Smooth Finish,French Press
Mundo Novo,Fazenda São Luiz,Nutty,Italiana
Yellow Bourbon,Fazenda Monte Verde,Citrusy,Espresso
Red Bourbon,Poços de Caldas,Earthy,Hario V60
Ethiopian Heirloom,Araguari,Nutty,Clever
Villalobos,Fazenda Vista Alegre,Citrusy,French Press
Java,Serra Negra,Bright Acidity,Italiana
Blue Mountain,Patrocínio,Citrusy,Espresso
Kona,Fazenda São Luiz,Earthy,Hario V60
Typica,Patrocínio,Bright Acidity,Clever
Bourbon,Santa Rita do Sapucaí,Full Body,French Press
Caturra,Fazenda Monte Verde,Fruity,Italiana
Catuai,São Sebastião do Paraíso,Chocolatey,Espresso
SL28,Três Pontas,Nutty,Hario V60
SL34,São Sebastião do Paraíso,Spicy,Clever
Pacamara,Varginha,Bright Acidity,French Press
Gesha,Lavras,Smokey,Italiana
Maragogipe,Fazenda Monte Verde,Nutty,Espresso
Mundo Novo,Varginha,Sweet Aftertaste,Hario V60
Yellow Bourbon,Fazenda Primavera,Caramel,Clever
Red Bourbon,Fazenda Boa Esperança,Spicy,French Press
Ethiopian Heirloom,São Sebastião do Paraíso,Chocolatey,Italiana
Villalobos,Guaxupé,Sweet Aftertaste,Espresso
Java,Patrocínio,Fruity,Hario V60
Blue Mountain,Fazenda Santa Clara,Sweet Aftertaste,Clever
Kona,Fazenda Serrinha,Full Body,French Press
Typica,Varginha,Caramel,Italiana
Bourbon,Fazenda Santa Clara,Nutty,Espresso
Caturra,Varginha,Smooth Finish,Hario V60
Catuai,Três Pontas,Earthy,Clever
SL28,Guaxupé,Smooth Finish,French Press
SL34,Fazenda Monte Verde,Smokey,Italiana
Pacamara,Araguari,Balanced,Espresso
Gesha,Fazenda Paraíso,Spicy,Hario V60
Maragogipe,Carmo de Minas,Chocolatey,Clever
Mundo Novo,Lavras,Caramel,French Press
Yellow Bourbon,Fazenda Boa Esperança,Fruity,Italiana
Red Bourbon,Patrocínio,Bright Acidity,Espresso
Ethiopian Heirloom,Fazenda São Luiz,Floral,Hario V60
Villalobos,Fazenda Paraíso,Spicy,Clever
Java,Serra Negra,Bright Acidity,French Press
Blue Mountain,Araguari,Sweet Aftertaste,Italiana
Kona,Fazenda Vista Alegre,Citrusy,Espresso
Typica,Fazenda Boa Esperança,Smokey,Hario V60
Bourbon,Fazenda Monte Verde,Full Body,Clever
Caturra,Fazenda São Luiz,Bright Acidity,French Press
Catuai,Varginha,Earthy,Italiana
SL28,Patrocínio,Chocolatey,Espresso
SL34,Araguari,Balanced,Hario V60
Pacamara,Fazenda Primavera,Caramel,Clever
Gesha,Varginha,Smokey,French Press
Maragogipe,Lavras,Balanced,Italiana
Mundo Novo,Fazenda Paraíso,Earthy,Espresso
Yellow Bourbon,Varginha,Smooth Finish,Hario V60
Red Bourbon,Fazenda Monte Verde,Earthy,Clever
Ethiopian Heirloom,Fazenda Serrinha,Citrusy,French Press
Villalobos,Três Pontas,Nutty,Italiana
Java,Poços de Caldas,Sweet Aftertaste,Espresso
Blue Mountain,Santa Rita do Sapucaí,Nutty,Hario V60
Kona,Araguari,Bright Acidity,Clever
Typica,Araguari,Nutty,French Press
Bourbon,Fazenda Santa Clara,Smokey,Italiana
Caturra,Fazenda Paraíso,Sweet Aftertaste,Espresso
Catuai,Fazenda Paraíso,Floral,Hario V60
SL28,Fazenda São Luiz,Spicy,Clever
SL34,Patrocínio,Citrusy,French Press
Pacamara,Guaxupé,Floral,Italiana
Gesha,Três Pontas,Citrusy,Espresso
Maragogipe,Lavras,Sweet Aftertaste,Hario V60
Mundo Novo,Patrocínio,Rich Flavor,Clever
Yellow Bourbon,Fazenda Boa Esperança,Sweet Aftertaste,French Press
Red Bourbon,Três Pontas,Sweet Aftertaste,Italiana
Ethiopian Heirloom,Lavras,Caramel,Espresso
Villalobos,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Java,Poços de Caldas,Earthy,Clever
Blue Mountain,Itamogi,Chocolatey,French Press
Kona,Poços de Caldas,Full Body,Italiana
Typica,Fazenda Serrinha,Rich Flavor,Espresso
Bourbon,Itamogi,Spicy,Hario V60
Caturra,Fazenda Monte Verde,Floral,Clever
Catuai,Fazenda Santa Clara,Spicy,French Press
SL28,Serra Negra,Floral,Italiana
SL34,São Sebastião do Paraíso,Smooth Finish,Espresso
Pacamara,Fazenda Primavera,Bright Acidity,Hario V60
Gesha,Fazenda Serrinha,Earthy,Clever
Maragogipe,Carmo de Minas,Balanced,French Press
Mundo Novo,Itamogi,Nutty,Italiana
Yellow Bourbon,Fazenda Primavera,Rich Flavor,Espresso
Red Bourbon,Guaxupé,Sweet Aftertaste,Hario V60
Ethiopian Heirloom,Lavras,Smooth Finish,Clever
Villalobos,Varginha,Chocolatey,French Press
Java,Guaxupé,Earthy,Italiana
Blue Mountain,Araguari,Chocolatey,Espresso
Kona,São Sebastião do Paraíso,Citrusy,Hario V60
Typica,Fazenda Serrinha,Rich Flavor,Clever
Bourbon,São Sebastião do Paraíso,Nutty,French Press
Caturra,Santa Rita do Sapucaí,Earthy,Italiana
Catuai,Fazenda Monte Verde,Citrusy,Espresso
SL28,Fazenda Serrinha,Citrusy,Hario V60
SL34,Fazenda Primavera,Full Body,Clever
Pacamara,Araguari,Bright Acidity,French Press
Gesha,Fazenda Santa Clara,Earthy,Italiana
Maragogipe,Três Pontas,Spicy,Espresso
Mundo Novo,Guaxupé,Rich Flavor,Hario V60
Yellow Bourbon,Araguari,Rich Flavor,Clever
Red Bourbon,Santa Rita do Sapucaí,Floral,French Press
Ethiopian Heirloom,Fazenda Boa Esperança,Caramel,Italiana
Villalobos,Fazenda Santa Clara,Earthy,Espresso
Java,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Blue Mountain,São Sebastião do Paraíso,Rich Flavor,Clever
Kona,Fazenda Monte Verde,Smooth Finish,French Press
Typica,Araguari,Citrusy,Italiana
Bourbon,São Sebastião do Paraíso,Rich Flavor,Espresso
Caturra,Fazenda Paraíso,Sweet Aftertaste,Hario V60
Catuai,Araguari,Citrusy,Clever
SL28,Serra Negra,Balanced,French Press
SL34,Santa Rita do Sapucaí,Rich Flavor,Italiana
Pacamara,Fazenda Serrinha,Fruity,Espresso
Gesha,Carmo de Minas,Caramel,Hario V60
Maragogipe,Lavras,Sweet Aftertaste,Clever
Mundo Novo,Fazenda Primavera,Spicy,French Press
Yellow Bourbon,Varginha,Rich Flavor,Italiana
Red Bourbon,Fazenda Boa Esperança,Chocolatey,Espresso
Ethiopian Heirloom,Fazenda Serrinha,Smooth Finish,Hario V60
Villalobos,Araguari,Nutty,Clever
Java,Carmo de Minas,Chocolatey,French Press
Blue Mountain,Fazenda Boa Esperança,Floral,Italiana
Kona,Fazenda Boa Esperança,Balanced,Espresso
Typica,Santa Rita do Sapucaí,Caramel,Hario V60
Bourbon,Fazenda São Luiz,Bright Acidity,Clever
Caturra,Lavras,Smooth Finish,French Press
Catuai,Araguari,Fruity,Italiana
SL28,Fazenda São Luiz,Rich Flavor,Espresso
SL34,Santa Rita do Sapucaí,Earthy,Hario V60
Pacamara,Fazenda Serrinha,Caramel,Clever
Gesha,São Sebastião do Paraíso,Citrusy,French Press
Maragogipe,Fazenda Monte Verde,Smokey,Italiana
Mundo Novo,Fazenda Boa Esperança,Sweet Aftertaste,Espresso
Yellow Bourbon,Fazenda São Luiz,Sweet Aftertaste,Hario V60
Red Bourbon,Fazenda Paraíso,Smooth Finish,Clever
Ethiopian Heirloom,Guaxupé,Full Body,French Press
Villalobos,Itamogi,Floral,Italiana
Java,Serra Negra,Bright Acidity,Espresso
Blue Mountain,Fazenda Santa Clara,Caramel,Hario V60
Kona,Fazenda Paraíso,Rich Flavor,Clever
Typica,Araguari,Floral,French Press
Bourbon,Fazenda Primavera,Floral,Italiana
Caturra,Guaxupé,Chocolatey,Espresso
Catuai,Serra Negra,Nutty,Hario V60
SL28,Fazenda São Luiz,Caramel,Clever
SL34,Varginha,Smooth Finish,French Press
Pacamara,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Gesha,Fazenda Paraíso,Sweet Aftertaste,Espresso
Maragogipe,Guaxupé,Citrusy,Hario V60
Mundo Novo,Fazenda Monte Verde,Caramel,Clever
Yellow Bourbon,Fazenda Vista Alegre,Caramel,French Press
Red Bourbon,Fazenda Vista Alegre,Smooth Finish,Italiana
Ethiopian Heirloom,Fazenda Paraíso,Nutty,Espresso
Villalobos,Araguari,Fruity,Hario V60
Java,Itamogi,Caramel,Clever
Blue Mountain,Três Pontas,Chocolatey,French Press
Kona,Varginha,Full Body,Italiana
Typica,Serra Negra,Smooth Finish,Espresso
Bourbon,Santa Rita do Sapucaí,Smooth Finish,Hario V60
Caturra,Patrocínio,Full Body,Clever
Catuai,Lavras,Floral,French Press
SL28,Fazenda Vista Alegre,Chocolatey,Italiana
SL34,São Sebastião do Paraíso,Chocolatey,Espresso
Pacamara,Fazenda Monte Verde,Full Body,Hario V60
Gesha,Serra Negra,Balanced,Clever
Maragogipe,Araguari,Sweet Aftertaste,French Press
Mundo Novo,Santa Rita do Sapucaí,Chocolatey,Italiana
Yellow Bourbon,Fazenda Vista Alegre,Bright Acidity,Espresso
Red Bourbon,Fazenda Santa Clara,Chocolatey,Hario V60
Ethiopian Heirloom,Santa Rita do Sapucaí,Earthy,Clever
Villalobos,Araguari,Rich Flavor,French Press
Java,Carmo de Minas,Balanced,Italiana
Blue Mountain,Guaxupé,Full Body,Espresso
Kona,Fazenda Monte Verde,Full Body,Hario V60
Typica,Santa Rita do Sapucaí,Chocolatey,Clever
Bourbon,Varginha,Fruity,French Press
Caturra,Lavras,Sweet Aftertaste,Italiana
Catuai,Fazenda Boa Esperança,Smokey,Espresso
SL28,Carmo de Minas,Spicy,Hario V60
SL34,Fazenda Paraíso,Caramel,Clever
Pacamara,Fazenda Primavera,Fruity,French Press
Gesha,Lavras,Caramel,Italiana
Maragogipe,Poços de Caldas,Spicy,Espresso
Mundo Novo,Poços de Caldas,Earthy,Hario V60
Yellow Bourbon,Fazenda Boa Esperança,Bright Acidity,Clever
Red Bourbon,Poços de Caldas,Caramel,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Earthy,Italiana
Villalobos,Lavras,Fruity,Espresso
Java,Santa Rita do Sapucaí,Floral,Hario V60
Blue Mountain,Guaxupé,Spicy,Clever
Kona,Fazenda Santa Clara,Rich Flavor,French Press
Typica,Fazenda Boa Esperança,Chocolatey,Italiana
Bourbon,Santa Rita do Sapucaí,Smooth Finish,Espresso
Caturra,Guaxupé,Rich Flavor,Hario V60
Catuai,Três Pontas,Floral,Clever
SL28,Três Pontas,Earthy,French Press
SL34,Lavras,Full Body,Italiana
Pacamara,São Sebastião do Paraíso,Sweet Aftertaste,Espresso
Gesha,Fazenda São Luiz,Fruity,Hario V60
Maragogipe,Poços de Caldas,Full Body,Clever
Mundo Novo,Fazenda Santa Clara,Fruity,French Press
Yellow Bourbon,Fazenda Serrinha,Rich Flavor,Italiana
Red Bourbon,Poços de Caldas,Spicy,Espresso
Ethiopian Heirloom,Guaxupé,Sweet Aftertaste,Hario V60
Villalobos,São Sebastião do Paraíso,Smokey,Clever
Java,Itamogi,Fruity,French Press
Blue Mountain,Fazenda Santa Clara,Balanced,Italiana
Kona,Fazenda São Luiz,Caramel,Espresso
Typica,Carmo de Minas,Spicy,Hario V60
Bourbon,Serra Negra,Nutty,Clever
Caturra,Fazenda São Luiz,Smooth Finish,French Press
Catuai,Varginha,Smooth Finish,Italiana
SL28,Guaxupé,Smooth Finish,Espresso
SL34,Varginha,Sweet Aftertaste,Hario V60
Pacamara,Poços de Caldas,Smooth Finish,Clever
Gesha,Araguari,Full Body,French Press
Maragogipe,Fazenda Santa Clara,Spicy,Italiana
Mundo Novo,Lavras,Sweet Aftertaste,Espresso
Yellow Bourbon,Fazenda Boa Esperança,Smokey,Hario V60
Red Bourbon,Fazenda Serrinha,Fruity,Clever
Ethiopian Heirloom,Fazenda Santa Clara,Earthy,French Press
Villalobos,Lavras,Smooth Finish,Italiana
Java,Fazenda Monte Verde,Rich Flavor,Espresso
Blue Mountain,Fazenda Primavera,Nutty,Hario V60
Kona,Santa Rita do Sapucaí,Earthy,Clever
Typica,Fazenda Monte Verde,Smokey,French Press
Bourbon,Fazenda Monte Verde,Sweet Aftertaste,Italiana
Caturra,Fazenda Vista Alegre,Rich Flavor,Espresso
Catuai,Fazenda Monte Verde,Balanced,Hario V60
SL28,Fazenda Monte Verde,Full Body,Clever
SL34,Fazenda Boa Esperança,Fruity,French Press
Pacamara,Guaxupé,Smokey,Italiana
Gesha,Itamogi,Citrusy,Espresso
Maragogipe,Fazenda Serrinha,Nutty,Hario V60
Mundo Novo,Fazenda Primavera,Full Body,Clever
Yellow Bourbon,Três Pontas,Sweet Aftertaste,French Press
Red Bourbon,Patrocínio,Balanced,Italiana
Ethiopian Heirloom,Varginha,Smokey,Espresso
Villalobos,São Sebastião do Paraíso,Chocolatey,Hario V60
Java,Serra Negra,Caramel,Clever
Blue Mountain,Três Pontas,Balanced,French Press
Kona,São Sebastião do Paraíso,Nutty,Italiana
Typica,Varginha,Sweet Aftertaste,Espresso
Bourbon,Itamogi,Earthy,Hario V60
Caturra,Santa Rita do Sapucaí,Smooth Finish,Clever
Catuai,Fazenda Santa Clara,Caramel,French Press
SL28,Lavras,Bright Acidity,Italiana
SL34,Fazenda Vista Alegre,Floral,Espresso
Pacamara,Fazenda Vista Alegre,Chocolatey,Hario V60
Gesha,Itamogi,Floral,Clever
Maragogipe,Poços de Caldas,Full Body,French Press
Mundo Novo,Fazenda Boa Esperança,Balanced,Italiana
Yellow Bourbon,Araguari,Chocolatey,Espresso
Red Bourbon,Araguari,Bright Acidity,Hario V60
Ethiopian Heirloom,Santa Rita do Sapucaí,Citrusy,Clever
Villalobos,Fazenda Vista Alegre,Earthy,French Press
Java,Fazenda Primavera,Chocolatey,Italiana
Blue Mountain,Fazenda Serrinha,Bright Acidity,Espresso
Kona,Poços de Caldas,Rich Flavor,Hario V60
Typica,Varginha,Bright Acidity,Clever
Bourbon,Fazenda Paraíso,Smooth Finish,French Press
Caturra,Varginha,Spicy,Italiana
Catuai,Fazenda Boa Esperança,Balanced,Espresso
SL28,Patrocínio,Full Body,Hario V60
SL34,Serra Negra,Earthy,Clever
Pacamara,Fazenda Serrinha,Chocolatey,French Press
Gesha,Poços de Caldas,Chocolatey,Italiana
Maragogipe,Fazenda Serrinha,Spicy,Espresso
Mundo Novo,Fazenda Boa Esperança,Balanced,Hario V60
Yellow Bourbon,Fazenda Santa Clara,Chocolatey,Clever
Red Bourbon,Itamogi,Balanced,French Press
Ethiopian Heirloom,São Sebastião do Paraíso,Rich Flavor,Italiana
Villalobos,Varginha,Earthy,Espresso
Java,Poços de Caldas,Rich Flavor,Hario V60
Blue Mountain,Carmo de Minas,Full Body,Clever
Kona,Itamogi,Smokey,French Press
Typica,Varginha,Smooth Finish,Italiana
Bourbon,Fazenda Vista Alegre,Floral,Espresso
Caturra,Lavras,Floral,Hario V60
Catuai,Santa Rita do Sapucaí,Chocolatey,Clever
SL28,Itamogi,Fruity,French Press
SL34,Fazenda Primavera,Rich Flavor,Italiana
Pacamara,Serra Negra,Spicy,Espresso
Gesha,Fazenda Serrinha,Earthy,Hario V60
Maragogipe,Serra Negra,Fruity,Clever
Mundo Novo,Serra Negra,Floral,French Press
Yellow Bourbon,Patrocínio,Rich Flavor,Italiana
Red Bourbon,Patrocínio,Smokey,Espresso
Ethiopian Heirloom,Santa Rita do Sapucaí,Nutty,Hario V60
Villalobos,Varginha,Fruity,Clever
Java,Guaxupé,Chocolatey,French Press
Blue Mountain,Fazenda Serrinha,Smokey,Italiana
Kona,Fazenda Boa Esperança,Sweet Aftertaste,Espresso
Typica,Patrocínio,Floral,Hario V60
Bourbon,Fazenda Primavera,Chocolatey,Clever
Caturra,Fazenda São Luiz,Sweet Aftertaste,French Press
Catuai,Fazenda São Luiz,Sweet Aftertaste,Italiana
SL28,Três Pontas,Smokey,Espresso
SL34,Poços de Caldas,Sweet Aftertaste,Hario V60
Pacamara,Guaxupé,Balanced,Clever
Gesha,Fazenda Paraíso,Citrusy,French Press
Maragogipe,Varginha,Earthy,Italiana
Mundo Novo,Araguari,Smooth Finish,Espresso
Yellow Bourbon,São Sebastião do Paraíso,Smokey,Hario V60
Red Bourbon,Araguari,Smokey,Clever
Ethiopian Heirloom,Serra Negra,Spicy,French Press
Villalobos,Guaxupé,Rich Flavor,Italiana
Java,Itamogi,Earthy,Espresso
Blue Mountain,Guaxupé,Smooth Finish,Hario V60
Kona,Fazenda Vista Alegre,Smokey,Clever
Typica,Poços de Caldas,Bright Acidity,French Press
Bourbon,Serra Negra,Chocolatey,Italiana
Caturra,Serra Negra,Smooth Finish,Espresso
Catuai,Carmo de Minas,Smokey,Hario V60
SL28,Lavras,Smooth Finish,Clever
SL34,Três Pontas,Floral,French Press
Pacamara,Patrocínio,Rich Flavor,Italiana
Gesha,Fazenda Monte Verde,Balanced,Espresso
Maragogipe,Poços de Caldas,Nutty,Hario V60
Mundo Novo,Fazenda São Luiz,Rich Flavor,Clever
Yellow Bourbon,Araguari,Smooth Finish,French Press
Red Bourbon,Poços de Caldas,Fruity,Italiana
Ethiopian Heirloom,Fazenda Serrinha,Fruity,Espresso
Villalobos,Fazenda Serrinha,Floral,Hario V60
Java,Guaxupé,Spicy,Clever
Blue Mountain,Lavras,Rich Flavor,French Press
Kona,Lavras,Spicy,Italiana
Typica,Fazenda São Luiz,Sweet Aftertaste,Espresso
Bourbon,Fazenda Santa Clara,Earthy,Hario V60
Caturra,Fazenda São Luiz,Nutty,Clever
Catuai,Três Pontas,Smokey,French Press
SL28,Poços de Caldas,Caramel,Italiana
SL34,Varginha,Floral,Espresso
Pacamara,Fazenda Santa Clara,Earthy,Hario V60
Gesha,Carmo de Minas,Spicy,Clever
Maragogipe,Três Pontas,Floral,French Press
Mundo Novo,Fazenda Boa Esperança,Balanced,Italiana
Yellow Bourbon,Fazenda Serrinha,Floral,Espresso
Red Bourbon,Poços de Caldas,Smooth Finish,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Caramel,Clever
Villalobos,Santa Rita do Sapucaí,Caramel,French Press
Java,Fazenda Santa Clara,Bright Acidity,Italiana
Blue Mountain,Fazenda Primavera,Citrusy,Espresso
Kona,Varginha,Full Body,Hario V60
Typica,São Sebastião do Paraíso,Floral,Clever
Bourbon,Poços de Caldas,Smokey,French Press
Caturra,Serra Negra,Balanced,Italiana
Catuai,Fazenda São Luiz,Smooth Finish,Espresso
SL28,Três Pontas,Rich Flavor,Hario V60
SL34,Fazenda Boa Esperança,Bright Acidity,Clever
Pacamara,Fazenda Boa Esperança,Balanced,French Press
Gesha,Patrocínio,Earthy,Italiana
Maragogipe,Itamogi,Earthy,Espresso
Mundo Novo,Fazenda Serrinha,Bright Acidity,Hario V60
Yellow Bourbon,Três Pontas,Sweet Aftertaste,Clever
Red Bourbon,Carmo de Minas,Caramel,French Press
Ethiopian Heirloom,Itamogi,Smooth Finish,Italiana
Villalobos,Araguari,Bright Acidity,Espresso
Java,Fazenda Paraíso,Nutty,Hario V60
Blue Mountain,Fazenda Santa Clara,Caramel,Clever
Kona,Fazenda Santa Clara,Balanced,French Press
Typica,Patrocínio,Sweet Aftertaste,Italiana
Bourbon,Varginha,Balanced,Espresso
Caturra,Poços de Caldas,Sweet Aftertaste,Hario V60
Catuai,Carmo de Minas,Smokey,Clever
SL28,Serra Negra,Bright Acidity,French Press
SL34,Varginha,Chocolatey,Italiana
Pacamara,Varginha,Spicy,Espresso
Gesha,Araguari,Full Body,Hario V60
Maragogipe,Santa Rita do Sapucaí,Nutty,Clever
Mundo Novo,Fazenda Vista Alegre,Caramel,French Press
Yellow Bourbon,Itamogi,Full Body,Italiana
Red Bourbon,São Sebastião do Paraíso,Smokey,Espresso
Ethiopian Heirloom,Fazenda Vista Alegre,Spicy,Hario V60
Villalobos,Itamogi,Citrusy,Clever
Java,Fazenda Monte Verde,Full Body,French Press
Blue Mountain,Serra Negra,Fruity,Italiana
Kona,São Sebastião do Paraíso,Sweet Aftertaste,Espresso
Typica,Fazenda Boa Esperança,Floral,Hario V60
Bourbon,Serra Negra,Chocolatey,Clever
Caturra,Itamogi,Caramel,French Press
Catuai,Araguari,Sweet Aftertaste,Italiana
SL28,Guaxupé,Earthy,Espresso
SL34,Lavras,Chocolatey,Hario V60
Pacamara,Araguari,Nutty,Clever
Gesha,Fazenda Monte Verde,Rich Flavor,French Press
Maragogipe,Serra Negra,Floral,Italiana
Mundo Novo,Fazenda Vista Alegre,Earthy,Espresso
Yellow Bourbon,Araguari,Spicy,Hario V60
Red Bourbon,Fazenda Boa Esperança,Spicy,Clever
Ethiopian Heirloom,Carmo de Minas,Caramel,French Press
Villalobos,Fazenda Paraíso,Earthy,Italiana
Java,Patrocínio,Caramel,Espresso
Blue Mountain,Fazenda Serrinha,Floral,Hario V60
Kona,São Sebastião do Paraíso,Spicy,Clever
Typica,Guaxupé,Rich Flavor,French Press
Bourbon,Três Pontas,Rich Flavor,Italiana
Caturra,Itamogi,Sweet Aftertaste,Espresso
Catuai,Fazenda Paraíso,Caramel,Hario V60
SL28,Fazenda Serrinha,Fruity,Clever
SL34,Fazenda Santa Clara,Fruity,French Press
Pacamara,Araguari,Earthy,Italiana
Gesha,Itamogi,Citrusy,Espresso
Maragogipe,Guaxupé,Nutty,Hario V60
Mundo Novo,Fazenda Paraíso,Earthy,Clever
Yellow Bourbon,Carmo de Minas,Floral,French Press
Red Bourbon,Santa Rita do Sapucaí,Fruity,Italiana
Ethiopian Heirloom,Três Pontas,Balanced,Espresso
Villalobos,Itamogi,Balanced,Hario V60
Java,São Sebastião do Paraíso,Floral,Clever
Blue Mountain,Fazenda Paraíso,Bright Acidity,French Press
Kona,Varginha,Spicy,Italiana
Typica,Patrocínio,Spicy,Espresso
Bourbon,Itamogi,Caramel,Hario V60
Caturra,Fazenda Monte Verde,Sweet Aftertaste,Clever
Catuai,Lavras,Rich Flavor,French Press
SL28,Itamogi,Caramel,Italiana
SL34,Guaxupé,Earthy,Espresso
Pacamara,Poços de Caldas,Smooth Finish,Hario V60
Gesha,Itamogi,Balanced,Clever
Maragogipe,São Sebastião do Paraíso,Balanced,French Press
Mundo Novo,Fazenda Santa Clara,Rich Flavor,Italiana
Yellow Bourbon,Patrocínio,Full Body,Espresso
Red Bourbon,Fazenda Primavera,Nutty,Hario V60
Ethiopian Heirloom,Fazenda Vista Alegre,Bright Acidity,Clever
Villalobos,Fazenda Santa Clara,Earthy,French Press
Java,Carmo de Minas,Earthy,Italiana
Blue Mountain,Fazenda Monte Verde,Full Body,Espresso
Kona,Varginha,Rich Flavor,Hario V60
Typica,Varginha,Caramel,Clever
Bourbon,Fazenda Vista Alegre,Caramel,French Press
Caturra,Fazenda Primavera,Chocolatey,Italiana
Catuai,Fazenda Vista Alegre,Earthy,Espresso
SL28,Fazenda Santa Clara,Spicy,Hario V60
SL34,Fazenda Primavera,Rich Flavor,Clever
Pacamara,Lavras,Earthy,French Press
Gesha,Carmo de Minas,Balanced,Italiana
Maragogipe,Fazenda Primavera,Citrusy,Espresso
Mundo Novo,Santa Rita do Sapucaí,Full Body,Hario V60
Yellow Bourbon,Fazenda Monte Verde,Smokey,Clever
Red Bourbon,Santa Rita do Sapucaí,Rich Flavor,French Press
Ethiopian Heirloom,Carmo de Minas,Balanced,Italiana
Villalobos,Fazenda Paraíso,Chocolatey,Espresso
Java,Fazenda Monte Verde,Balanced,Hario V60
Blue Mountain,São Sebastião do Paraíso,Full Body,Clever
Kona,Três Pontas,Smokey,French Press
Typica,Fazenda Serrinha,Balanced,Italiana
